W&B run: https://wandb.ai/vuongcris4-hcmute/thietkedenoiser/runs/vrylq49n
OpenEarthMap train: 2303 samples
OpenEarthMap val: 384 samples
Model params: 24.5M total, 24.5M trainable
/home/ubuntu/thietkedenoiser/src/train_dae.py:274: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
/home/ubuntu/thietkedenoiser/src/train_dae.py:76: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
  Batch 380/575 | Loss: 0.7645 | Acc: 0.9436
  Batch 400/575 | Loss: 0.7595 | Acc: 0.9438
  Batch 420/575 | Loss: 0.8918 | Acc: 0.9437
  Batch 440/575 | Loss: 0.7332 | Acc: 0.9438
  Batch 460/575 | Loss: 0.8764 | Acc: 0.9437
  Batch 480/575 | Loss: 0.9178 | Acc: 0.9435
  Batch 500/575 | Loss: 0.7734 | Acc: 0.9435
  Batch 520/575 | Loss: 0.9739 | Acc: 0.9436
  Batch 540/575 | Loss: 0.8592 | Acc: 0.9437
  Batch 560/575 | Loss: 0.9275 | Acc: 0.9436
Epoch   5/100 | Train Loss: 0.8704 Acc: 0.9436 | Val Loss: 0.8673 mIoU: 0.8860 | LR: 0.000099 | 74.5s
  IoU: Bare:0.930 Rang:0.858 Deve:0.861 Road:0.856 Tree:0.868 Wate:0.900 Agri:0.885 Buil:0.930
  Batch 20/575 | Loss: 0.7799 | Acc: 0.9418
  Batch 40/575 | Loss: 0.8295 | Acc: 0.9409
  Batch 60/575 | Loss: 0.8082 | Acc: 0.9437
  Batch 80/575 | Loss: 0.8307 | Acc: 0.9445
  Batch 100/575 | Loss: 0.7469 | Acc: 0.9454
  Batch 120/575 | Loss: 0.8502 | Acc: 0.9455
  Batch 140/575 | Loss: 0.8482 | Acc: 0.9449
  Batch 160/575 | Loss: 0.8047 | Acc: 0.9450
  Batch 180/575 | Loss: 0.8528 | Acc: 0.9459
  Batch 200/575 | Loss: 0.9362 | Acc: 0.9462
  Batch 220/575 | Loss: 0.8022 | Acc: 0.9464
  Batch 240/575 | Loss: 0.8296 | Acc: 0.9467
  Batch 260/575 | Loss: 0.8237 | Acc: 0.9468
  Batch 280/575 | Loss: 0.8957 | Acc: 0.9471
  Batch 300/575 | Loss: 0.8924 | Acc: 0.9468
  Batch 320/575 | Loss: 0.8259 | Acc: 0.9470
  Batch 340/575 | Loss: 0.8116 | Acc: 0.9471
  Batch 360/575 | Loss: 0.7147 | Acc: 0.9472
  Batch 380/575 | Loss: 0.8772 | Acc: 0.9474
  Batch 400/575 | Loss: 0.9076 | Acc: 0.9474
  Batch 420/575 | Loss: 0.8671 | Acc: 0.9473
  Batch 440/575 | Loss: 0.8131 | Acc: 0.9473
  Batch 460/575 | Loss: 0.6578 | Acc: 0.9473
  Batch 480/575 | Loss: 0.8871 | Acc: 0.9472
  Batch 500/575 | Loss: 0.7700 | Acc: 0.9474
  Batch 520/575 | Loss: 0.7943 | Acc: 0.9474
  Batch 540/575 | Loss: 0.8867 | Acc: 0.9475
  Batch 560/575 | Loss: 0.7014 | Acc: 0.9474
Epoch   6/100 | Train Loss: 0.8344 Acc: 0.9473 | Val Loss: 0.8243 mIoU: 0.9032 | LR: 0.000099 | 73.7s
  IoU: Bare:0.925 Rang:0.901 Deve:0.901 Road:0.865 Tree:0.879 Wate:0.914 Agri:0.912 Buil:0.929
  >>> New best mIoU: 0.9032, saved to checkpoints/dae_unet_resnet34_mixed_20260319_022703_best.pth
  Batch 20/575 | Loss: 0.7993 | Acc: 0.9495
  Batch 40/575 | Loss: 0.8905 | Acc: 0.9532
  Batch 60/575 | Loss: 0.7718 | Acc: 0.9517
  Batch 80/575 | Loss: 0.7914 | Acc: 0.9522
  Batch 100/575 | Loss: 0.8754 | Acc: 0.9524
  Batch 120/575 | Loss: 0.8986 | Acc: 0.9513
  Batch 140/575 | Loss: 0.7999 | Acc: 0.9505
  Batch 160/575 | Loss: 0.9060 | Acc: 0.9497
  Batch 180/575 | Loss: 0.8458 | Acc: 0.9502
  Batch 200/575 | Loss: 0.6179 | Acc: 0.9499
  Batch 220/575 | Loss: 0.8216 | Acc: 0.9497
  Batch 240/575 | Loss: 0.7350 | Acc: 0.9506
  Batch 260/575 | Loss: 0.8646 | Acc: 0.9505
  Batch 280/575 | Loss: 0.8646 | Acc: 0.9508
  Batch 300/575 | Loss: 0.7182 | Acc: 0.9506
  Batch 320/575 | Loss: 0.8227 | Acc: 0.9502
  Batch 340/575 | Loss: 0.7574 | Acc: 0.9500
  Batch 360/575 | Loss: 0.9103 | Acc: 0.9502
  Batch 380/575 | Loss: 0.8452 | Acc: 0.9503
  Batch 400/575 | Loss: 0.8551 | Acc: 0.9503
  Batch 420/575 | Loss: 0.7628 | Acc: 0.9503
  Batch 440/575 | Loss: 0.7392 | Acc: 0.9501
  Batch 460/575 | Loss: 0.8138 | Acc: 0.9501
  Batch 480/575 | Loss: 0.7587 | Acc: 0.9501
  Batch 500/575 | Loss: 0.7369 | Acc: 0.9502
  Batch 520/575 | Loss: 1.0055 | Acc: 0.9501
  Batch 540/575 | Loss: 0.8812 | Acc: 0.9501
  Batch 560/575 | Loss: 0.8139 | Acc: 0.9502
Epoch   7/100 | Train Loss: 0.8030 Acc: 0.9502 | Val Loss: 0.7683 mIoU: 0.9125 | LR: 0.000099 | 77.7s
  IoU: Bare:0.955 Rang:0.915 Deve:0.907 Road:0.865 Tree:0.872 Wate:0.921 Agri:0.924 Buil:0.941
  >>> New best mIoU: 0.9125, saved to checkpoints/dae_unet_resnet34_mixed_20260319_022703_best.pth
  Batch 20/575 | Loss: 0.8557 | Acc: 0.9505
  Batch 40/575 | Loss: 0.7274 | Acc: 0.9495
  Batch 60/575 | Loss: 0.7914 | Acc: 0.9499
  Batch 80/575 | Loss: 0.7300 | Acc: 0.9511
  Batch 100/575 | Loss: 0.8545 | Acc: 0.9519
  Batch 120/575 | Loss: 0.8046 | Acc: 0.9518
  Batch 140/575 | Loss: 0.8368 | Acc: 0.9515
  Batch 160/575 | Loss: 0.7938 | Acc: 0.9512
  Batch 180/575 | Loss: 0.7179 | Acc: 0.9516
  Batch 200/575 | Loss: 0.7659 | Acc: 0.9516
  Batch 220/575 | Loss: 0.7427 | Acc: 0.9521
  Batch 240/575 | Loss: 0.6610 | Acc: 0.9518
  Batch 260/575 | Loss: 0.7879 | Acc: 0.9518
  Batch 280/575 | Loss: 0.7520 | Acc: 0.9516
  Batch 300/575 | Loss: 0.7814 | Acc: 0.9515
  Batch 320/575 | Loss: 0.8363 | Acc: 0.9517
  Batch 340/575 | Loss: 0.7945 | Acc: 0.9519
  Batch 360/575 | Loss: 0.6345 | Acc: 0.9524
  Batch 380/575 | Loss: 0.6414 | Acc: 0.9525
  Batch 400/575 | Loss: 0.8173 | Acc: 0.9525
  Batch 420/575 | Loss: 0.8016 | Acc: 0.9524
  Batch 440/575 | Loss: 0.6856 | Acc: 0.9524
  Batch 460/575 | Loss: 0.6375 | Acc: 0.9523
  Batch 480/575 | Loss: 0.7486 | Acc: 0.9522
  Batch 500/575 | Loss: 0.8218 | Acc: 0.9522
  Batch 520/575 | Loss: 0.7440 | Acc: 0.9522
  Batch 540/575 | Loss: 0.7258 | Acc: 0.9525
  Batch 560/575 | Loss: 0.7836 | Acc: 0.9524
Epoch   8/100 | Train Loss: 0.7843 Acc: 0.9523 | Val Loss: 0.7321 mIoU: 0.9165 | LR: 0.000098 | 79.3s
  IoU: Bare:0.955 Rang:0.893 Deve:0.913 Road:0.879 Tree:0.885 Wate:0.924 Agri:0.932 Buil:0.951
  >>> New best mIoU: 0.9165, saved to checkpoints/dae_unet_resnet34_mixed_20260319_022703_best.pth
  Batch 20/575 | Loss: 0.8127 | Acc: 0.9487
  Batch 40/575 | Loss: 0.7648 | Acc: 0.9508
  Batch 60/575 | Loss: 0.8308 | Acc: 0.9535
  Batch 80/575 | Loss: 0.6889 | Acc: 0.9554
  Batch 100/575 | Loss: 0.9727 | Acc: 0.9553
  Batch 120/575 | Loss: 0.7597 | Acc: 0.9551
  Batch 140/575 | Loss: 0.7524 | Acc: 0.9553
  Batch 160/575 | Loss: 0.7442 | Acc: 0.9552
  Batch 180/575 | Loss: 0.6642 | Acc: 0.9554
  Batch 200/575 | Loss: 0.7449 | Acc: 0.9547
  Batch 220/575 | Loss: 0.8453 | Acc: 0.9541
  Batch 240/575 | Loss: 0.7054 | Acc: 0.9542
  Batch 260/575 | Loss: 0.7232 | Acc: 0.9538
  Batch 280/575 | Loss: 0.7511 | Acc: 0.9541
  Batch 300/575 | Loss: 0.5972 | Acc: 0.9542
  Batch 320/575 | Loss: 0.8094 | Acc: 0.9541
  Batch 340/575 | Loss: 0.6826 | Acc: 0.9541
  Batch 360/575 | Loss: 0.6780 | Acc: 0.9541
  Batch 380/575 | Loss: 0.7543 | Acc: 0.9541
  Batch 400/575 | Loss: 0.6158 | Acc: 0.9541
  Batch 420/575 | Loss: 0.7836 | Acc: 0.9542
  Batch 440/575 | Loss: 0.6419 | Acc: 0.9539
  Batch 460/575 | Loss: 0.8431 | Acc: 0.9537
  Batch 480/575 | Loss: 0.7636 | Acc: 0.9537
